gene,pu_score,pu_rank,label,is_lcgene_gene,is_val_gene,is_query_gene,pu_novel_candidate
NRGN,0.9056999999999994,318,0,False,False,False,True
EYA2,0.9055999999999998,319,1,True,False,False,False
AQP9,0.9050666666666658,320,1,True,True,False,False
CPA3,0.9048666666666658,321,0,False,False,False,True
SCUBE3,0.9046666666666662,322,1,True,False,False,False
ITGA11,0.9045333333333329,323,0,False,True,False,True
RAMP1,0.9043999999999994,324,0,False,True,False,True
PRF1,0.9041333333333326,325,1,True,False,False,False
ACE2,0.9036333333333331,326,1,True,False,False,False
SLC14A1,0.9035666666666663,327,1,True,False,False,False
MMP9,0.9035000000000002,328,1,True,True,False,False
TRIM29,0.903399999999999,329,1,True,False,False,False
UBE2T,0.9033333333333331,330,1,True,False,False,False
P2RY6,0.9031000000000006,331,1,True,False,False,False
SOX9,0.9028666666666667,332,1,True,True,False,False
TNFRSF6B,0.9025999999999995,333,0,False,True,False,True
PAPPA,0.9020666666666659,334,1,True,False,False,False
BUB1,0.9017333333333325,335,0,False,False,False,True
TPSB2,0.901666666666666,336,0,False,False,False,True
ACHE,0.9013666666666658,337,1,True,False,False,False
MYH11,0.901299999999999,338,0,False,True,False,True
ALDH3A1,0.9011999999999991,339,1,True,True,False,False
TGM1,0.900899999999999,340,1,True,False,False,False
L1CAM,0.9005999999999991,341,1,True,False,False,False
ALDH1A2,0.9005333333333332,342,0,False,True,False,True
CDC45,0.9001666666666666,343,0,False,False,False,True
TNFRSF11B,0.8997333333333326,344,0,False,False,False,True
PCSK1,0.8996666666666658,345,1,True,False,False,False
ADAM28,0.8996,346,1,True,False,False,False
PRSS21,0.898866666666666,347,0,False,True,False,True
AQP3,0.8987333333333326,348,0,False,False,False,True
CDKN2A,0.8986666666666658,349,1,True,True,False,False
DSP,0.8986333333333328,350,1,True,False,False,False
IL1RL1,0.8975666666666655,351,0,False,False,False,True
IFIT1,0.8974999999999996,352,0,False,True,False,True
SHISA3,0.8971666666666666,353,0,False,True,False,True
DACT2,0.8969999999999997,354,1,True,False,False,False
IFI44L,0.8969666666666658,355,0,False,False,False,True
ALDH1A3,0.8959333333333329,356,0,False,False,False,True
NUF2,0.8957333333333325,357,0,False,False,False,True
CH25H,0.8955666666666662,358,0,False,False,False,True
LRRN4,0.8947999999999998,359,0,False,False,False,True
FGFR2,0.8943000000000002,360,1,True,False,False,False
KIT,0.8939666666666667,361,0,False,False,False,True
SFRP2,0.8936333333333321,362,0,False,False,False,True
MT1M,0.8935666666666653,363,0,False,True,False,True
EYA4,0.8934666666666667,364,1,True,False,False,False
CCL14,0.8933,365,0,False,False,False,True
TSPAN8,0.8929333333333324,366,0,False,False,False,True
MFSD2A,0.8926666666666663,367,1,True,False,False,False
CD36,0.8925999999999994,368,0,False,False,False,True
EGF,0.8924999999999996,369,1,True,False,False,False
CP,0.8924333333333329,370,0,False,True,False,True
AQP4,0.8921666666666662,371,0,False,False,False,True
PPP1R1B,0.8919333333333327,372,0,False,False,False,True
KCNN4,0.891566666666666,373,0,False,True,False,True
ANO1,0.8912333333333325,374,1,True,False,False,False
KLK5,0.8911999999999999,375,1,True,False,False,False
KIF11,0.8911999999999994,376,1,True,False,False,False
SEMA3A,0.8911666666666662,377,1,True,False,False,False
ABCC2,0.8910666666666661,378,1,True,False,False,False
KIF18B,0.8907999999999995,379,0,False,False,False,True
SUSD2,0.8907666666666659,380,0,False,False,False,True
FGF9,0.8906666666666666,381,1,True,False,False,False
FADS2,0.8901999999999997,382,0,False,False,False,True
ANLN,0.8898333333333335,383,0,False,False,False,True
NKX2-1,0.8895333333333332,384,1,True,False,False,False
CCL13,0.8894999999999995,385,0,False,False,False,True
SLC16A9,0.8890333333333327,386,0,False,False,False,True
SLC7A11,0.8889666666666668,387,0,False,False,False,True
PKMYT1,0.8887999999999996,388,0,False,False,False,True
TCN1,0.8886666666666669,389,0,False,False,False,True
MAP2,0.8886666666666662,390,1,True,False,False,False
NLRP2,0.8879999999999996,391,0,False,False,False,True
MMRN1,0.8876999999999995,392,0,False,False,False,True
PDE4D,0.8872666666666663,393,1,True,False,False,False
KCNA5,0.8869666666666655,394,1,True,True,False,False
GGT1,0.8851000000000003,395,1,True,False,False,False
NTSR1,0.8850333333333337,396,1,True,False,False,False
TSPAN11,0.885,397,0,False,False,False,True
FBLN5,0.8844333333333331,398,1,True,False,False,False
SLC5A8,0.8843333333333334,399,1,True,True,False,False
ELFN2,0.883833333333333,400,0,False,True,False,True
AKR1C2,0.8835666666666658,401,0,False,False,False,True
ADAM12,0.8833666666666659,402,1,True,True,False,False
CA12,0.8833333333333324,403,1,True,True,False,False
HSPA12B,0.8831999999999998,404,1,True,False,False,False
CEP55,0.8826999999999995,405,1,True,True,False,False
CLU,0.8825,406,1,True,False,False,False
COL5A3,0.8819999999999991,407,0,False,True,False,True
MUC1,0.8815999999999993,408,1,True,False,False,False
CA4,0.8814999999999994,409,0,False,False,False,True
MSR1,0.8812666666666669,410,1,True,False,False,False
BMP6,0.8812000000000001,411,0,False,False,False,True
FAM3D,0.8808666666666667,412,0,False,False,False,True
SLC7A2,0.8805333333333333,413,0,False,False,False,True
RAD54L,0.8804999999999994,414,0,False,False,False,True
SMAD6,0.8797333333333331,415,1,True,False,False,False
PRELP,0.8796666666666658,416,0,False,False,False,True
COL15A1,0.8795999999999998,417,0,False,True,False,True
GNLY,0.8791999999999994,418,0,False,False,False,True
ATF3,0.8790999999999991,419,0,False,False,False,True
KL,0.8789666666666657,420,1,True,False,False,False
ITGA2,0.8788333333333329,421,0,False,False,False,True
ADAM8,0.8786999999999993,422,1,True,False,False,False
CAPN9,0.8782666666666656,423,0,False,True,False,True
SCEL,0.8779666666666657,424,0,False,False,False,True
COL7A1,0.8774000000000001,425,0,False,False,False,True
TMEM130,0.8773999999999993,426,0,False,False,False,True
