gene,mean_tumor,mean_normal,log2fc,t_stat,pvalue,pvalue_adj,neg_log10_padj,cohens_d,significant,direction
SYT7,9.659895237697285,1.9188090716733086,7.741086166023976,95.11310904469251,0.0,0.0,300.0,6.110245383706841,True,up
MSH2,9.589189220235989,1.8625529437799162,7.726636276456072,221.01651047830256,0.0,0.0,300.0,13.55997347140995,True,up
MEX3A,8.648114367105556,0.965332467951605,7.682781899153952,107.59096940897403,0.0,0.0,300.0,6.918867271979433,True,up
MCM2,9.891456342446697,2.214177292732529,7.677279049714167,141.64009095322862,0.0,0.0,300.0,8.695310648330592,True,up
MXRA5,10.952542574595114,3.2758801919565466,7.676662382638567,97.09938087738222,0.0,0.0,300.0,5.950565795355808,True,up
LRRC8E,8.234217666254665,0.5729678559415,7.661249810313165,222.5589443788216,0.0,0.0,300.0,14.09904703704024,True,up
IGSF9,8.6281958158658,0.9763370733246713,7.651858742541128,110.52541405248391,0.0,0.0,300.0,7.023222239663712,True,up
BCAS4,9.95592416686524,2.3047596798561445,7.651164487009095,187.56671260456778,0.0,0.0,300.0,11.717108326836748,True,up
GJB2,8.570051409650395,0.9210818000319295,7.648969609618465,86.28702053560151,0.0,0.0,300.0,5.557399524615933,True,up
EPHB2,9.036042412252039,1.4009450642379029,7.635097348014136,116.02850637404711,0.0,0.0,300.0,7.449055093002204,True,up
GPT2,9.97722591687072,2.3564381190589825,7.620787797811738,118.84340090092027,0.0,0.0,300.0,7.506491695174595,True,up
PDE4DIP,10.981570418390563,3.3657185237311347,7.6158518946594285,246.72425757208103,0.0,0.0,300.0,15.291338569871312,True,up
SMPDL3B,10.036151646542525,2.422493824820259,7.613657821722265,107.88500070268415,0.0,0.0,300.0,6.551847526291004,True,up
KRT8,14.325549211373373,6.732845801870506,7.5927034095028665,131.75951361052003,0.0,0.0,300.0,7.866650865026204,True,up
TPX2,9.65178544356949,2.068091456205616,7.5836939873638745,100.77439907672728,0.0,0.0,300.0,6.255089581904937,True,up
CLDN4,13.05308974033262,5.474379336714667,7.578710403617953,122.42054132609026,0.0,0.0,300.0,7.254818304517745,True,up
OAS3,11.124738156938133,3.5481294355787703,7.576608721359362,136.1180291717157,0.0,0.0,300.0,8.403057736327815,True,up
PYCR1,11.351962456963555,3.778746385448531,7.5732160715150245,120.66151135651172,0.0,0.0,300.0,7.178412258529122,True,up
DNAJC10,11.443884332480593,3.8782930452872075,7.565591287193385,221.61489525933052,0.0,0.0,300.0,13.732755554811067,True,up
EPN3,8.302502126532989,0.7468491931760662,7.555652933356923,116.89709592903252,0.0,0.0,300.0,7.3955234601560385,True,up
TTC39A,9.479124672350254,1.9500635402393098,7.529061132110945,109.84774743392772,0.0,0.0,300.0,6.634393029122001,True,up
FUT2,8.503752490033353,0.9885110652649362,7.5152414247684165,118.04219876854164,0.0,0.0,300.0,7.527565051937328,True,up
THOC3,9.472569474821878,1.9753588242013849,7.497210650620493,211.3082579308624,0.0,0.0,300.0,13.019675353122064,True,up
MACC1,10.044466717309597,2.549067032784847,7.49539968452475,109.61872909845928,0.0,0.0,300.0,6.845804251168009,True,up
LRRC37A,8.404909540237135,0.9097291374146126,7.495180402822522,208.67713079286523,0.0,0.0,300.0,13.143637486663996,True,up
ASPM,8.234964545537418,0.7450170676551834,7.489947477882234,113.77561378237264,0.0,0.0,300.0,7.296390045967787,True,up
TOP3B,8.37792790999078,0.8940917698648074,7.483836140125971,211.42727135291244,0.0,0.0,300.0,13.178858734177279,True,up
FOXA1,10.334663487471184,2.858798079702748,7.4758654077684366,106.72818121180782,0.0,0.0,300.0,6.539548961888263,True,up
CD24,12.408563245911754,4.935991827560022,7.472571418351732,97.32341793835836,0.0,0.0,300.0,6.038543996568573,True,up
PLS1,10.22215416043394,2.751959046872483,7.470195113561457,151.0542987462524,0.0,0.0,300.0,9.068609631226991,True,up
ETV4,9.549438943963168,2.0833052055862136,7.4661337383769535,113.79046192180589,0.0,0.0,300.0,7.264769892743479,True,up
ENC1,10.80276949674235,3.3367017056059627,7.466067791136387,136.64232868648128,0.0,0.0,300.0,8.31316655198553,True,up
SULF1,11.147395106647659,3.6846396320270003,7.462755474620659,96.95046785246836,0.0,0.0,300.0,6.08710486607508,True,up
FARP1,10.908310628039589,3.4501068661122707,7.458203761927318,224.17718908207615,0.0,0.0,300.0,14.066756514812099,True,up
CELSR1,11.358839809714906,3.905842250988982,7.452997558725924,147.65168859553813,0.0,0.0,300.0,9.05427135194868,True,up
ANK3,9.327313941167601,1.8828469050047487,7.444467036162852,124.7000644237617,0.0,0.0,300.0,7.882763969268272,True,up
NCKAP1,11.981839694145856,4.538633307219542,7.443206386926314,281.77374509051776,0.0,0.0,300.0,17.298815077720676,True,up
PRKDC,12.002134107941371,4.563743764747071,7.438390343194301,193.4928122247417,0.0,0.0,300.0,12.271929642415577,True,up
FAM83H,11.303884332809613,3.876690653446514,7.427193679363098,147.8275777373606,0.0,0.0,300.0,8.907681765580376,True,up
ELF3,12.738790525647062,5.3157861702463824,7.423004355400679,99.16528373277089,0.0,0.0,300.0,5.814825947990841,True,up
WNT7B,9.197559577659044,1.776801347633049,7.420758230025995,101.58454511789358,0.0,0.0,300.0,6.312348500564613,True,up
RAPH1,10.937860694120909,3.5229998537776908,7.414860840343218,178.78392894230524,0.0,0.0,300.0,10.92203999183998,True,up
SSR1,12.124013070099043,4.7121522644187275,7.411860805680315,272.52966863752374,0.0,0.0,300.0,16.487580876668925,True,up
DDR1,12.540895510147623,5.133071091024346,7.407824419123276,189.99722965934066,0.0,0.0,300.0,11.620404708672714,True,up
ARSD,11.25051721882347,3.8555415049674453,7.394975713856025,146.30285065582478,0.0,0.0,300.0,9.098243105714827,True,up
MYBL2,9.342192341375384,1.9488473001719506,7.393345041203434,86.36574588793559,0.0,0.0,300.0,5.418008175375099,True,up
KDM5B,11.200243693042271,3.8079054656155926,7.392338227426679,232.07460840728533,0.0,0.0,300.0,14.156890376839927,True,up
SBK1,8.82191403530625,1.4386018427471488,7.383312192559101,103.86091580177377,0.0,0.0,300.0,6.706240410772643,True,up
LRBA,10.833651466496912,3.4585930106255662,7.375058455871345,238.32841971446666,0.0,0.0,300.0,14.818416366365737,True,up
LGR4,10.21859531680978,2.844135503278452,7.374459813531329,135.09622192299253,0.0,0.0,300.0,8.478524617160948,True,up
FAT1,11.378965747722866,4.013639765850206,7.36532598187266,130.29576827534746,0.0,0.0,300.0,8.27345158777556,True,up
OPN3,9.804401223684307,2.4421174885480985,7.3622837351362085,117.88915132897621,0.0,0.0,300.0,7.506253828022157,True,up
FNDC1,8.687319526640485,1.3269030630648548,7.36041646357563,83.90387808886285,0.0,0.0,300.0,5.308002710560672,True,up
AFAP1,9.9880138081368,2.6315748839955795,7.356438924141221,192.16189521776738,0.0,0.0,300.0,11.78985823725429,True,up
ITGB1,13.572876921599498,6.217223052428751,7.355653869170747,208.2554213778897,0.0,0.0,300.0,12.824204877252669,True,up
CTSC,12.610588366100181,5.2555126634995535,7.355075702600628,166.18768538153134,0.0,0.0,300.0,10.222050824637746,True,up
MAP1LC3B2,7.990759003321723,0.6375970964562905,7.353161906865433,244.99619107749157,0.0,0.0,300.0,15.119607424789878,True,up
SPDEF,8.911202895695547,1.5603268556349192,7.350876040060628,76.93579836496187,0.0,0.0,300.0,4.877315337086588,True,up
CDCP1,10.32660051193587,2.9777762943304924,7.348824217605378,123.26581101108657,0.0,0.0,300.0,7.821571441274654,True,up
GALNT6,9.803576007749893,2.455172565122843,7.34840344262705,106.0173259180518,0.0,0.0,300.0,6.805221131474401,True,up
RNF43,9.46522496951081,2.1192047392669036,7.346020230243907,125.54003450530696,0.0,0.0,300.0,7.843847472820901,True,up
DPP4,10.501693366683304,3.1582771008804564,7.343416265802848,76.22523025435677,0.0,0.0,300.0,4.8687978901068085,True,up
NF1,10.76618906914012,3.4287393054270634,7.337449763713057,229.71949643967253,0.0,0.0,300.0,14.404178234935749,True,up
