gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens
KRT6A,0.9153333333333336,290,97.37,1,0,False,4.50912441682135,5.250514561963166e-97,96.2797981326949,up,True,6.498028228952579,1.9889038121312297,False,True,True
CLIC6,0.9146999999999996,293,97.34,1,0,False,6.819068882723076,0.0,300.0,up,True,10.705827317382091,3.8867584346590176,False,True,True
LAMC3,0.9139666666666668,294,97.33,1,0,False,2.349876433734992,4.4098550116239774e-148,147.35557568914595,up,True,7.855027140139235,5.505150706404243,False,True,True
CDT1,0.9138666666666672,295,97.32,1,0,False,6.123064245630564,0.0,300.0,up,True,8.019656451336562,1.896592205705998,False,True,True
ORM2,0.9134999999999992,296,97.31,1,0,False,3.1641884378349365,3.030815207501648e-97,96.5184405422892,up,True,5.406104616263228,2.2419161784282915,False,True,True
NCAPG,0.9121000000000008,301,97.27,1,0,False,6.728382890171696,0.0,300.0,up,True,8.081914578734262,1.353531688562565,False,True,True
HJURP,0.911466666666666,302,97.26,1,0,False,6.282895154225592,0.0,300.0,up,True,7.8003727322965135,1.5174775780709209,False,True,True
DMBT1,0.9111999999999992,303,97.25,1,0,False,6.022942164734199,1.8097097964166886e-162,161.74239106265549,up,True,9.590637624205325,3.567695459471124,False,True,True
MELK,0.9100333333333332,305,97.23,1,0,False,6.359033017473038,0.0,300.0,up,True,7.697321722539835,1.3382887050667966,False,True,True
MUC21,0.9097666666666656,308,97.21,1,0,False,7.346981346213644,4.073887486988066e-209,208.3899909695565,up,True,8.863196646264997,1.516215300051354,False,True,True
EPHA2,0.9096999999999998,309,97.2,1,0,False,4.954563033110557,0.0,300.0,up,True,10.128664139395452,5.174101106284895,False,True,True
NDC80,0.9086000000000002,311,97.18,1,0,False,6.037289561219589,0.0,300.0,up,True,7.321669940421259,1.2843803792016697,False,True,True
MS4A1,0.9080666666666666,313,97.16,1,0,False,4.318781295336258,1.7262795847886546e-172,171.7628888654587,up,True,6.684798148058773,2.366016852722515,False,True,True
SLITRK6,0.9059999999999988,317,97.12,1,0,False,5.454063951865616,1.2132000626376743e-206,205.91606757593868,up,True,6.855313485709069,1.4012495338434527,False,True,True
NRGN,0.9056999999999994,318,97.11,1,0,False,3.077454092248619,1.5626550177990649e-164,163.80613688916128,up,True,8.26888086444785,5.191426772199231,False,True,True
CPA3,0.9048666666666658,321,97.09,1,0,False,2.0271303193867425,4.1031559046025547e-82,81.38688198115099,up,True,8.111021843400437,6.083891524013694,False,True,True
ITGA11,0.9045333333333327,323,97.07,1,0,False,7.188182038042579,0.0,300.0,up,True,8.881436118942565,1.693254080899986,False,True,True
RAMP1,0.9043999999999994,324,97.06,1,0,False,3.508230436479677,6.159932576907498e-221,220.2104240413481,up,True,8.839991204892403,5.3317607684127255,False,True,True
TNFRSF6B,0.9025999999999996,333,96.98,1,0,False,2.8294346208454817,3.1655568194668074e-136,135.49954988679914,up,True,6.841830882584212,4.01239626173873,False,True,True
BUB1,0.9017333333333324,335,96.96,1,0,False,6.991486855180769,0.0,300.0,up,True,8.414178047030113,1.422691191849344,False,True,True
TPSB2,0.901666666666666,336,96.95,1,0,False,3.204135818895041,7.908975578952964e-162,161.10187976545552,up,True,9.117698704924214,5.9135628860291725,False,True,True
MYH11,0.901299999999999,338,96.93,1,0,False,2.6247025369656223,1.1922332181903881e-135,134.92363878195647,up,True,10.315016995125031,7.690314458159409,False,True,True
