gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens
MXRA8,0.5488666666666671,1776,83.84,1,0,False,3.520796683406745,1.3417885242581536e-292,291.87231592677875,up,True,10.58065312496186,7.059856441555114,False,False,True
PNPLA7,0.5487666666666665,1777,83.83,1,0,False,3.8698924198559297,1.3388316151479077e-233,232.87327404077035,up,True,6.967694312311874,3.0978018924559443,False,False,True
GBP1P1,0.5486666666666671,1778,83.82,1,0,False,2.342875670623904,6.28752062106856e-147,146.20152057758585,up,True,4.572795714948503,2.229920044324599,False,False,True
GP1BA,0.5485666666666672,1779,83.82,1,0,False,2.251693925189993,1.742092929872764e-155,154.75892868178846,up,True,4.170412799589873,1.91871887439988,False,False,True
ZNF366,0.5485333333333332,1780,83.81,1,0,False,2.0183283655595945,2.365559991434875e-147,146.62606603361468,up,True,4.431348139650554,2.41301977409096,False,False,True
CKB,0.5482333333333332,1781,83.8,1,0,False,2.8600270255186464,3.093771270714204e-184,183.509511797792,up,True,10.522678075893298,7.662651050374651,False,False,True
PLA2G4C,0.547766666666667,1782,83.79,1,0,False,2.9289701414965417,3.880597211775486e-248,247.41110143269967,up,True,6.536893174835777,3.6079230333392354,False,False,True
C1QTNF1,0.5477333333333338,1783,83.78,1,0,False,3.0862660284048564,2.706434833440485e-277,276.5676024255535,up,True,8.584260100799936,5.49799407239508,False,False,True
PROM2,0.5476333333333333,1784,83.77,1,0,False,8.27061302475331,0.0,300.0,up,True,10.37900917924128,2.1083961544879704,False,False,True
FAM227A,0.5474333333333332,1785,83.76,1,0,False,5.086650799526828,0.0,300.0,up,True,6.616746681813748,1.5300958822869195,False,False,True
DNAH9,0.5473333333333332,1786,83.75,1,0,False,3.0150614476772515,1.7513863743763618e-83,82.756618033386,up,True,4.269847352150941,1.254785904473689,False,False,True
CECR2,0.5472666666666666,1787,83.74,1,0,False,3.239241063412841,1.8919025036099921e-146,145.72310124807967,up,True,5.910649432228036,2.671408368815195,False,False,True
GLS2,0.5472,1788,83.73,1,0,False,5.675991592989791,0.0,300.0,up,True,6.628033089570521,0.9520414965807298,False,False,True
IGFALS,0.5470333333333327,1789,83.72,1,0,False,3.106727657270142,5.8754385240914975e-148,147.2309597134842,up,True,4.507105685249959,1.400378027979817,False,False,True
C5ORF46,0.5469666666666668,1790,83.72,1,0,False,2.4747895746284185,3.381138020687959e-101,100.47093710063332,up,True,3.029522452911177,0.5547328782827584,False,False,True
DNAH12,0.5468333333333336,1791,83.71,1,0,False,2.0312157054380378,2.0725272844683653e-59,58.68349974332724,up,True,3.539674240729,1.5084585352909623,False,False,True
CACNA1D,0.5467333333333333,1792,83.7,1,0,False,3.831314426520124,8.084521155612759e-205,204.09234569816124,up,True,7.085354778040498,3.254040351520375,False,False,True
GOLGA8A,0.546566666666667,1793,83.69,1,0,False,3.958639322449704,1.8679141232239252e-256,255.7286430942019,up,True,9.664874799544355,5.706235477094653,False,False,True
CD8B,0.5463333333333336,1794,83.68,1,0,False,4.520291633655011,1.4977429276418978e-281,280.82456272247595,up,True,5.948132971515847,1.4278413378608357,False,False,True
LRRC66,0.5463333333333332,1795,83.67,1,0,False,2.300915078859883,2.722502855000389e-109,108.5650316561414,up,True,2.973541241199117,0.6726261623392343,False,False,True
BAIAP2L2,0.5463333333333332,1795,83.67,1,0,False,3.083445643238553,7.851759545642802e-126,125.10503300881726,up,True,5.189914587769414,2.106468944530861,False,False,True
IQCA1,0.5459666666666667,1797,83.65,1,0,False,3.73407618032217,1.8141107205002535e-184,183.74133621020047,up,True,5.799702516972972,2.065626336650802,False,False,True
PIP5K1B,0.5456999999999999,1798,83.64,1,0,False,2.988853867673731,7.388579520541621e-178,177.13143904816644,up,True,6.47305064153276,3.484196773859029,False,False,True
NME2P1,0.5456333333333334,1799,83.63,1,0,False,5.475895827816702,0.0,300.0,up,True,6.745330685527969,1.2694348577112673,False,False,True
TMEM200B,0.5456000000000002,1800,83.62,1,0,False,2.028606133139027,1.7512958752658488e-140,139.75664047519575,up,True,6.232910214167798,4.204304081028771,False,False,True
KIF19,0.5455333333333336,1801,83.62,1,0,False,2.577027255506122,1.5001502261783713e-98,97.82386524818868,up,True,4.5564733837193,1.979446128213178,False,False,True
MYRIP,0.5454666666666668,1802,83.61,1,0,False,3.4997301445793667,3.284808213562866e-181,180.483489982032,up,True,4.672011165445071,1.1722810208657044,False,False,True
CARNS1,0.5451999999999999,1803,83.6,1,0,False,3.7690378374414815,9.229576487431225e-268,267.0348182267521,up,True,5.529449247587915,1.760411410146433,False,False,True
HLA-DRB1,0.5447333333333334,1804,83.59,1,0,False,3.933136582257657,2.4946144408961593e-254,253.60299656792856,up,True,13.040101847846785,9.106965265589128,False,False,True
GPR176,0.5445666666666668,1805,83.58,1,0,False,2.5199800918228163,2.34364812312343e-180,179.63010759301972,up,True,6.095178400458924,3.575198308636107,False,False,True
SULT1A2,0.5440666666666665,1806,83.57,1,0,False,2.602895550107924,7.368646888393579e-171,170.13261225472658,up,True,6.04236169075549,3.439466140647566,False,False,True
HTR2B,0.5438000000000003,1807,83.56,1,0,False,4.1857008593178175,2.7979786851564875e-223,222.5531555982624,up,True,5.05806178163308,0.8723609223152626,False,False,True
HSPA1B,0.5436333333333333,1808,83.55,1,0,False,3.403275152383608,5.7004796209973125e-148,147.24408860257495,up,True,10.973431725933558,7.5701565735499505,False,False,True
COL16A1,0.5436,1809,83.54,1,0,False,3.979633018855667,0.0,300.0,up,True,9.506921419767078,5.527288400911411,False,False,True
APOLD1,0.5433000000000003,1810,83.53,1,0,False,3.594490923227167,0.0,300.0,up,True,8.419163002943884,4.824672079716717,False,False,True
PHLDA1,0.5432999999999992,1811,83.52,1,0,False,4.925854223677359,0.0,300.0,up,True,10.59230214173566,5.666447918058301,False,False,True
HYDIN,0.5431999999999999,1812,83.52,1,0,False,5.122726555815432,1.5326147885365537e-258,257.81456698815634,up,True,6.0114275853900025,0.8887010295745708,False,False,True
SP5,0.5431999999999998,1813,83.51,1,0,False,4.747627343908332,6.382020863586232e-226,225.1950417803798,up,True,5.709446550079785,0.9618192061714532,False,False,True
IFITM1,0.5419666666666673,1814,83.5,1,0,False,4.042106080436281,0.0,300.0,up,True,11.605184524833048,7.5630784443967665,False,False,True
FREM1,0.5419666666666666,1815,83.49,1,0,False,2.875134790633662,8.351541746159714e-143,142.07823334367302,up,True,4.895968166478178,2.020833375844516,False,False,True
FCRL3,0.5419666666666665,1816,83.48,1,0,False,3.3015404655717795,2.840837182484798e-173,172.54655365637728,up,True,4.639514970984064,1.3379745054122845,False,False,True
CBLC,0.5419000000000005,1817,83.47,1,0,False,6.222291172554826,0.0,300.0,up,True,8.040505382203474,1.818214209648648,False,False,True
SEMA7A,0.5419000000000003,1818,83.46,1,0,False,4.382561488537673,0.0,300.0,up,True,8.161161153178293,3.7785996646406192,False,False,True
TSC22D3,0.5417333333333322,1819,83.45,1,0,False,3.522995427234326,1.2572255194089679e-307,300.0,up,True,11.842209326245186,8.31921389901086,False,False,True
TLR10,0.541433333333333,1820,83.44,1,0,False,4.337217140524024,1.456006300045985e-249,248.83683674585453,up,True,5.478083145688893,1.1408660051648685,False,False,True
CHST2,0.5414000000000002,1821,83.43,1,0,False,4.038314806969548,2.4363109040961687e-303,300.0,up,True,8.342664174076523,4.304349367106975,False,False,True
BEND4,0.541366666666667,1822,83.42,1,0,False,2.064931553373351,1.5449894174169552e-119,118.81107449097904,up,True,2.7349994082303595,0.6700678548570085,False,False,True
C1QB,0.5410333333333331,1823,83.42,1,0,False,3.666277882844613,5.205229680558893e-265,264.2835601025034,up,True,11.820125231123962,8.15384734827935,False,False,True
COL28A1,0.5404999999999996,1824,83.41,1,0,False,3.672309762878352,5.7754253158855244e-154,153.23841602779245,up,True,5.095719785156461,1.4234100222781083,False,False,True
DMGDH,0.5403333333333333,1825,83.4,1,0,False,3.8048787437550895,7.779216177940695e-161,160.10906415966124,up,True,4.63936862327834,0.8344898795232506,False,False,True
CCDC144A,0.5402666666666666,1826,83.39,1,0,False,2.857668043023377,3.5472363187947345e-182,181.4501098776319,up,True,3.872152013304954,1.0144839702815769,False,False,True
LCK,0.5401666666666665,1827,83.38,1,0,False,3.939793205141111,0.0,300.0,up,True,7.9274785698439825,3.987685364702872,False,False,True
THEMIS,0.5398666666666663,1828,83.37,1,0,False,4.033332011030172,4.2110518824860095e-272,271.3756094077988,up,True,5.412953136958295,1.379621125928123,False,False,True
CYP27A1,0.5394666666666669,1829,83.36,1,0,False,2.799937732290433,4.215635675426748e-231,230.3751369288649,up,True,10.066575895480842,7.266638163190408,False,False,True
FKBP10,0.5393333333333333,1830,83.35,1,0,False,4.542143216053158,0.0,300.0,up,True,10.909474130650516,6.367330914597358,False,False,True
OAS1,0.5390000000000004,1831,83.34,1,0,False,6.649630670656572,0.0,300.0,up,True,10.28361521846127,3.633984547804697,False,False,True
KRTCAP3,0.5389666666666668,1832,83.33,1,0,False,5.17758778160603,0.0,300.0,up,True,9.40305910682255,4.22547132521652,False,False,True
C1QC,0.5386000000000005,1833,83.32,1,0,False,3.902765287825175,5.810861489227478e-293,292.2357594765112,up,True,11.58951677247947,7.686751484654295,False,False,True
FPR3,0.5385333333333334,1834,83.32,1,0,False,5.109484429220198,0.0,300.0,up,True,9.11770134849078,4.008216919270583,False,False,True
PDZD2,0.5383666666666665,1835,83.31,1,0,False,4.702936186615796,2.709935848246979e-293,292.5670409899677,up,True,8.310604089756849,3.607667903141053,False,False,True
LUM,0.5381666666666669,1836,83.3,1,0,False,3.8348390958308194,0.0,300.0,up,True,13.146615930619216,9.311776834788397,False,False,True
ITGAL,0.537966666666667,1837,83.29,1,0,False,4.614809859403292,0.0,300.0,up,True,9.30318830451017,4.688378445106879,False,False,True
ACSM3,0.5378000000000007,1838,83.28,1,0,False,5.95330513256932,0.0,300.0,up,True,7.81377862980668,1.86047349723736,False,False,True
MCF2L,0.5374666666666668,1839,83.27,1,0,False,5.19281704695948,0.0,300.0,up,True,8.958226128308652,3.7654090813491727,False,False,True
MYC,0.5373999999999998,1840,83.26,1,0,False,5.267187755493453,0.0,300.0,up,True,10.18624447262984,4.919056717136386,False,False,True
SLC38A4,0.5373666666666665,1841,83.25,1,0,False,3.543284309718166,9.867594743037088e-160,159.0057886950636,up,True,4.14395854076006,0.6006742310418942,False,False,True
