gene,predicted_prob,predicted_label,rank,percentile,novel_candidate,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,degree,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,in_largest_component,mean_edge_weight,node_color,node_size
CABIN1,0.0027333333333333,0,8930,18.67,False,False,5.618815980180734,0.0,300.0,up,True,10.67248207567694,5.053666095496207,3,1.8309804201126096,4.5809723957952616e-05,0.0865320850231612,4.370828621066463e-08,0.0,1,0.6103268265724182,#F0882A,5.122999999999998
DGCR2,0.0033,0,8787,19.98,False,False,5.690356663483011,0.0,300.0,up,True,11.692919205309044,6.002562541826033,2,1.2507674098014832,8.001740069355928e-07,0.0685110070891385,4.224106805358943e-12,0.0,1,0.625383734703064,#F0882A,5.1485
ZFYVE16,0.0123666666666666,0,7324,33.31,False,False,5.733096439653405,0.0,300.0,up,True,9.745142430345435,4.01204599069203,2,1.2395723462104795,6.199403107449996e-07,0.0840298428169183,2.9296272004298583e-08,0.0,1,0.6197861433029175,#F0882A,5.556499999999997
BEND6,0.4498666666666666,1,2244,79.58,False,False,4.334722094166548,3.304313221380198e-263,262.4809187918996,up,True,5.040816812998532,0.7060947188319842,6,3.759143650531769,4.009067891671268e-06,0.0835757857962936,1.5462826319963123e-05,0.087517611962122,1,0.6265239119529724,#F0882A,25.243999999999996
RAB23,0.0475666666666665,0,5356,51.25,False,False,4.543265785880402,0.0,300.0,up,True,8.40291011701429,3.8596443311338873,3,1.8704591393470764,1.30328467057703e-07,0.0829253343329879,2.624820411924477e-06,0.214121807873716,1,0.623486340045929,#F0882A,7.140499999999992
TGFBI,0.6256333333333334,1,1473,86.6,False,False,5.094283537670021,0.0,300.0,up,True,12.010080747399728,6.915797209729707,16,10.054756700992584,7.293489944419598e-05,0.0900083129553851,0.0003531322653988,0.1091149905189246,1,0.6284223198890686,#F0882A,33.1535
BEST1,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,6,3.669415831565857,0.0,0.0909602623881121,0.001204166225477,0.6916451576481621,1,0.611569344997406,#CCCCCC,5.0
BET1,0.0137999999999999,0,7188,34.56,False,False,6.21090712247438,0.0,300.0,up,True,9.451335690688104,3.240428568213724,1,0.6067615151405334,0.0,9.103322712790169e-05,5.405554669017567e-35,0.0,0,0.6067615151405334,#F0882A,5.620999999999995
TFPI2,0.989700000000001,1,13,99.89,False,True,5.535017318645317,1.0728545767029629e-168,167.9694591417951,up,True,8.622359023787334,3.087341705142017,1,0.6067615151405334,0.0,9.103322712790169e-05,5.405554669017567e-35,0.0,0,0.6067615151405334,#E8524A,49.536500000000046
BEX2,0.6872333333333337,1,1230,88.81,False,False,3.242572619601913,4.2424685617984416e-179,178.372381367275,up,True,7.372441977512689,4.129869357910776,2,1.4227851033210754,0.0,0.0002048247610377,5.794333063195638e-32,0.700904860306474,0,0.7113925218582153,#F0882A,35.925500000000014
BEX4,0.2598333333333334,0,3202,70.86,False,False,2.7134129016092405,1.3090840096609856e-237,236.8830324819737,up,True,8.892919646277301,6.1795067446680605,2,1.407532513141632,0.0,0.0002048247610377,5.751250794125828e-32,0.7009048603064739,0,0.7037662267684937,#F0882A,16.692500000000003
BFAR,0.0006,0,9638,12.25,False,False,5.400184567766806,0.0,300.0,up,True,10.84106799751302,5.440883429746212,1,0.6374492049217224,0.0,9.103322712790169e-05,7.316492205065255e-35,0.0,0,0.6374492049217224,#F0882A,5.027
PARN,0.0242333333333332,0,6349,42.21,False,False,6.692693611984097,0.0,300.0,up,True,10.247419088801518,3.554725476817421,1,0.6374492049217224,0.0,9.103322712790169e-05,7.316492205065255e-35,0.0,0,0.6374492049217224,#F0882A,6.090499999999994
IGF1,0.934766666666666,1,223,97.98,False,True,4.185991314568503,3.352993217883621e-295,294.47456732502,up,True,7.496166654664574,3.3101753400960705,24,15.213552474975586,2.9230789068536567e-08,0.0972959178395568,0.000305013571399,0.537685375351851,1,0.6338980197906494,#E8524A,47.06449999999997
CSGALNACT2,0.0485333333333332,0,5332,51.47,False,False,3.4719898361788104,0.0,300.0,up,True,9.4150267031334,5.943036866954591,19,11.9605233669281,1.820568749416725e-07,0.1010749476918759,0.0008991991705677,0.6248048332217783,1,0.629501223564148,#F0882A,7.183999999999994
PKD2,0.0223999999999999,0,6466,41.14,False,False,3.677509469378583,0.0,300.0,up,True,9.246065340407917,5.568555871029334,17,10.637930810451508,7.716136372724984e-08,0.1028473365751472,0.0002685566268789,0.6363203872568751,1,0.625760555267334,#F0882A,6.007999999999996
RECQL,0.0057,0,8300,24.44,False,False,4.611864810384335,0.0,300.0,up,True,9.552993389165255,4.941128578780923,9,5.626925408840179,0.000114065923396,0.0905266276056521,3.7804580708692176e-08,0.0542259987689194,1,0.6252139806747437,#F0882A,5.2565
BIRC3,0.718633333333333,1,1104,89.96,False,False,4.899095538653958,0.0,300.0,up,True,9.80971850244616,4.910622963792202,4,2.438916504383087,2.1698080168165014e-08,0.0815051265332262,7.510785823563997e-05,0.0,1,0.6097291111946106,#F0882A,37.33849999999998
CASP4,0.0521333333333332,0,5248,52.23,False,False,3.52739756280845,0.0,300.0,up,True,10.472868773174408,6.945471210365958,2,1.2735771536827087,7.95738765866559e-08,0.0838388325080147,0.000134443388635,0.0,1,0.6367886066436768,#F0882A,7.345999999999994
SP100,0.0185333333333332,0,6748,38.57,False,False,5.082714376882492,0.0,300.0,up,True,10.77340710942903,5.690692732546538,21,13.417874574661257,1.607206318217656e-06,0.086360641771134,0.0001057827936405,0.4245001978909805,1,0.6389464139938354,#F0882A,5.833999999999994
CCT5,0.0285666666666665,0,6108,44.41,False,False,5.793159545888474,0.0,300.0,up,True,12.412266237186987,6.619106691298515,32,20.510056257247925,0.000163952472079,0.10246819108048,1.5773591563650678e-05,0.3988839478807124,1,0.6409392356872559,#F0882A,6.285499999999993
