gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens,degree,weighted_degree,betweenness_centrality,eigenvector_centrality,clustering_coefficient,in_largest_component,mean_edge_weight,tumor_mean,tumor_std,normal_mean,normal_std,abs_log2fc_rank,neg_log10_padj_rank
OLFM4,0.9773,54,99.52,1,1,True,0.814058,0.0,7.460587,ns,False,2.88727,2.073212,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,2.88727,2.660356,2.073212,1.644924,0.037775,0.017022
ALDH1A1,0.977167,55,99.51,1,1,True,2.89549,0.0,151.401602,up,True,10.273125,7.377635,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,10.273125,1.746171,7.377635,0.77418,0.204897,0.162935
CCL2,0.977167,56,99.5,1,1,True,1.873359,0.0,68.533473,ns,False,9.420803,7.547444,False,False,False,4,2.649436,0.0,0.000303,0.457938,1,0.662359,9.420803,1.218473,7.547444,2.022594,0.105407,0.080739
S100A8,0.9769,57,99.49,1,1,True,-1.334429,0.0,32.636938,ns,False,7.917868,9.252297,False,False,False,1,0.767084,0.0,0.0,0.0,0,0.767084,7.917868,1.959974,9.252297,1.521754,0.067085,0.04442
GRP,0.975467,58,99.48,1,1,True,1.654437,0.0,45.452548,ns,False,3.713491,2.059054,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,3.713491,2.072779,2.059054,1.210425,0.08793,0.056709
ESPL1,0.9752,59,99.47,1,1,True,6.344967,0.0,300.0,up,True,7.604729,1.259761,False,False,False,206,154.973712,0.000194,0.000143,0.562745,1,0.752299,7.604729,1.476077,1.259761,0.629191,0.937739,0.666394
EREG,0.974933,60,99.46,1,1,True,3.583856,0.0,85.894087,up,True,6.010277,2.426421,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,6.010277,3.292949,2.426421,1.124338,0.314855,0.096122
TNS4,0.974533,61,99.45,1,1,True,6.507249,0.0,224.086531,up,True,7.404832,0.897583,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,7.404832,2.703499,0.897583,0.887368,0.951939,0.240852
MMP8,0.974467,62,99.44,1,1,True,0.501185,1e-06,6.193642,ns,False,2.672389,2.171204,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,2.672389,1.626818,2.171204,1.574238,0.021118,0.01511
LYVE1,0.9743,63,99.44,1,1,True,0.635065,0.0,17.36601,ns,False,6.539345,5.90428,False,False,False,17,11.016873,0.0,0.000366,0.689238,1,0.648051,6.539345,1.368422,5.90428,0.938895,0.029128,0.027854
NPTX1,0.974167,64,99.43,1,1,True,4.816821,0.0,157.447061,up,True,6.499886,1.683065,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,6.499886,2.804166,1.683065,1.01251,0.620972,0.17049
PTGDS,0.9739,65,99.42,1,1,True,0.638074,0.0,12.877112,ns,False,9.622074,8.984,False,False,False,127,82.137755,0.000424,0.018638,0.411462,1,0.646754,9.622074,1.617071,8.984,1.11594,0.02931,0.022301
SOX7,0.973767,66,99.41,1,1,True,1.328105,0.0,67.373982,ns,False,6.670757,5.342653,False,False,False,39,25.712038,6e-06,0.000299,0.602733,1,0.659283,6.670757,1.181983,5.342653,1.172365,0.066448,0.079647
